V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;Concatenando;Concatenado
23;440;FORTALEZA;65;MESSEJANA;9;66;2;2;"SATI"" -""RUA CLEITOM HELAIDE PIMENTA"" - ""RUA MONSENHOR VITAL GURGEL"" - ""AVENIDA J";": DO PONTO INICIAL SEGUE PELA ""RUA ANTONIO ROCHA BARROS"" ATE ""RUA CARLOS JEREISSSATI"" -""RUA CLEITOM HELAIDE PIMENTA"" - ""RUA MONSENHOR VITAL GURGEL"" - ""AVENIDA J";
23;440;FORTALEZA;65;MESSEJANA;9;66;2;3;"OSE LEON"" - ""RUA ATAULFO ALVES"" ATE PONTO INICIAL";": DO PONTO INICIAL SEGUE PELA ""RUA ANTONIO ROCHA BARROS"" ATE ""RUA CARLOS JEREISSSATI"" -""RUA CLEITOM HELAIDE PIMENTA"" - ""RUA MONSENHOR VITAL GURGEL"" - ""AVENIDA JSATI"" -""RUA CLEITOM HELAIDE PIMENTA"" - ""RUA MONSENHOR VITAL GURGEL"" - ""AVENIDA JOSE LEON"" - ""RUA ATAULFO ALVES"" ATE PONTO INICIAL";": DO PONTO INICIAL SEGUE PELA ""RUA ANTONIO ROCHA BARROS"" ATE ""RUA CARLOS JEREISSSATI"" -""RUA CLEITOM HELAIDE PIMENTA"" - ""RUA MONSENHOR VITAL GURGEL"" - ""AVENIDA JSATI"" -""RUA CLEITOM HELAIDE PIMENTA"" - ""RUA MONSENHOR VITAL GURGEL"" - ""AVENIDA JOSE LEON"" - ""RUA ATAULFO ALVES"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;67;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA ANTONIO ROCHA BARROS"" ATE ""RUA PADRE FRANCISC";;
23;440;FORTALEZA;65;MESSEJANA;9;67;2;2;"O PITA"" - ""RUA VICENTE LOPES"" - ""RUA VEREADOR PEDRO LUCIANO PEREIRA"" - ""RUA SEM";": DO PONTO INICIAL SEGUE PELA ""RUA ANTONIO ROCHA BARROS"" ATE ""RUA PADRE FRANCISCO PITA"" - ""RUA VICENTE LOPES"" - ""RUA VEREADOR PEDRO LUCIANO PEREIRA"" - ""RUA SEM";
23;440;FORTALEZA;65;MESSEJANA;9;67;2;3;"DENOMINACAO"" - ""RUA VICENTE LOPES"" - ""AVENIDA JOSE LEON"" - ""RUA MONSENHOR VITAL";": DO PONTO INICIAL SEGUE PELA ""RUA ANTONIO ROCHA BARROS"" ATE ""RUA PADRE FRANCISCO PITA"" - ""RUA VICENTE LOPES"" - ""RUA VEREADOR PEDRO LUCIANO PEREIRA"" - ""RUA SEMO PITA"" - ""RUA VICENTE LOPES"" - ""RUA VEREADOR PEDRO LUCIANO PEREIRA"" - ""RUA SEMDENOMINACAO"" - ""RUA VICENTE LOPES"" - ""AVENIDA JOSE LEON"" - ""RUA MONSENHOR VITAL";
23;440;FORTALEZA;65;MESSEJANA;9;67;2;4;"GURGEL"" - ""RUA CLEITON HELAIDE PIMENTA"" - ""RUA CARLOS JEREISSATI"" ATE PONTO INIC";": DO PONTO INICIAL SEGUE PELA ""RUA ANTONIO ROCHA BARROS"" ATE ""RUA PADRE FRANCISCO PITA"" - ""RUA VICENTE LOPES"" - ""RUA VEREADOR PEDRO LUCIANO PEREIRA"" - ""RUA SEMO PITA"" - ""RUA VICENTE LOPES"" - ""RUA VEREADOR PEDRO LUCIANO PEREIRA"" - ""RUA SEMDENOMINACAO"" - ""RUA VICENTE LOPES"" - ""AVENIDA JOSE LEON"" - ""RUA MONSENHOR VITALDENOMINACAO"" - ""RUA VICENTE LOPES"" - ""AVENIDA JOSE LEON"" - ""RUA MONSENHOR VITALGURGEL"" - ""RUA CLEITON HELAIDE PIMENTA"" - ""RUA CARLOS JEREISSATI"" ATE PONTO INIC";
23;440;FORTALEZA;65;MESSEJANA;9;67;2;5;IAL;": DO PONTO INICIAL SEGUE PELA ""RUA ANTONIO ROCHA BARROS"" ATE ""RUA PADRE FRANCISCO PITA"" - ""RUA VICENTE LOPES"" - ""RUA VEREADOR PEDRO LUCIANO PEREIRA"" - ""RUA SEMO PITA"" - ""RUA VICENTE LOPES"" - ""RUA VEREADOR PEDRO LUCIANO PEREIRA"" - ""RUA SEMDENOMINACAO"" - ""RUA VICENTE LOPES"" - ""AVENIDA JOSE LEON"" - ""RUA MONSENHOR VITALDENOMINACAO"" - ""RUA VICENTE LOPES"" - ""AVENIDA JOSE LEON"" - ""RUA MONSENHOR VITALGURGEL"" - ""RUA CLEITON HELAIDE PIMENTA"" - ""RUA CARLOS JEREISSATI"" ATE PONTO INICGURGEL"" - ""RUA CLEITON HELAIDE PIMENTA"" - ""RUA CARLOS JEREISSATI"" ATE PONTO INICIAL";": DO PONTO INICIAL SEGUE PELA ""RUA ANTONIO ROCHA BARROS"" ATE ""RUA PADRE FRANCISCO PITA"" - ""RUA VICENTE LOPES"" - ""RUA VEREADOR PEDRO LUCIANO PEREIRA"" - ""RUA SEMO PITA"" - ""RUA VICENTE LOPES"" - ""RUA VEREADOR PEDRO LUCIANO PEREIRA"" - ""RUA SEMDENOMINACAO"" - ""RUA VICENTE LOPES"" - ""AVENIDA JOSE LEON"" - ""RUA MONSENHOR VITALDENOMINACAO"" - ""RUA VICENTE LOPES"" - ""AVENIDA JOSE LEON"" - ""RUA MONSENHOR VITALGURGEL"" - ""RUA CLEITON HELAIDE PIMENTA"" - ""RUA CARLOS JEREISSATI"" ATE PONTO INICGURGEL"" - ""RUA CLEITON HELAIDE PIMENTA"" - ""RUA CARLOS JEREISSATI"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;68;2;1;": DO PONTO INICIAL SEGUE ATE A ""RUA EFESIOS"" DAI ATE A ""RUA FILADELFIA"" DAI ATE";;
23;440;FORTALEZA;65;MESSEJANA;9;68;2;2;"A ""RUA NATANAEL CORTES"" ATE O PONTO INICIAL";": DO PONTO INICIAL SEGUE ATE A ""RUA EFESIOS"" DAI ATE A ""RUA FILADELFIA"" DAI ATEA ""RUA NATANAEL CORTES"" ATE O PONTO INICIAL";": DO PONTO INICIAL SEGUE ATE A ""RUA EFESIOS"" DAI ATE A ""RUA FILADELFIA"" DAI ATEA ""RUA NATANAEL CORTES"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;69;2;1;": DO PONTO INICIAL SEGUE ATE A ""AVENIDA WASHINGTON SOARES"" DAI ATE A ""RUA LUIZA";;
